"celsius","fahrenheit"
-50,-58
-49,-56.2
-48,-54.4
-47,-52.6
-46,-50.8
-45,-49
-44,-47.2
-43,-45.4
-42,-43.6
-41,-41.8
-40,-40
-39,-38.2
-38,-36.4
-37,-34.6
-36,-32.8
-35,-31
-34,-29.2
-33,-27.4
-32,-25.6
-31,-23.8
-30,-22
-29,-20.2
-28,-18.4
-27,-16.6
-26,-14.8
-25,-13
-24,-11.2
-23,-9.4
-22,-7.6
-21,-5.8
-20,-4
-19,-2.2
-18,-0.4
-17,1.4
-16,3.2
-15,5
-14,6.8
-13,8.6
-12,10.4
-11,12.2
-10,14
-9,15.8
-8,17.6
-7,19.4
-6,21.2
-5,23
-4,24.8
-3,26.6
-2,28.4
-1,30.2
0,32
1,33.8
2,35.6
3,37.4
4,39.2
5,41
6,42.8
7,44.6
8,46.4
9,48.2
10,50
11,51.8
12,53.6
13,55.4
14,57.2
15,59
16,60.8
17,62.6
18,64.4
19,66.2
20,68
21,69.8
22,71.6
23,73.4
24,75.2
25,77
26,78.8
27,80.6
28,82.4
29,84.2
30,86
31,87.8
32,89.6
33,91.4
34,93.2
35,95
36,96.8
37,98.6
38,100.4
39,102.2
40,104
41,105.8
42,107.6
43,109.4
44,111.2
45,113
46,114.8
47,116.6
48,118.4
49,120.2
50,122
